HJ_manualdecision	HJ_comments	Deprecate_category	BIDS_string	Scan_comments
delete	Pain run with failed thermode. No Behavioral data	delete	sub-0002_ses-03_task-social_acq-mb8_run-04	"- PVC thermode failure (8002) 
- PVC questionable biopac for the PVC runs (EDA) 
- short-video: audio was off (for first 2 min)
- Also, behavioural RA (MA) noticed that she dozed off a couple of times "
bug	check partial data	delete	sub-0007_ses-03_task-social_acq-mb8_run-06	o PVC Could not start final run of PVC (pain trial) because medoc PC froze and TSA turned from green to white
delete	Psychtoolbox error. No behavioral data	delete	sub-0009_ses-01_task-alignvideo_acq-mb8_run-04	"- had to restart PVC task because the DTI put out 5 triggers before we pressed s
- matlab error message popped up at the end of 4th run - 4th run not saved"
delete	No behavioral data	delete	sub-0026_ses-01_task-social_acq-mb8_run-02	"- PVC run 02, post=test setting was too long that it bleaded into other trials
- PVC, don't think participant reported expectation rating
"
delete	Failed pain run. No behavioral data	delete	sub-0064_ses-04_task-social_acq-mb8_run-01	PVC: Thermode was received and passed the test yesterday but failed the first pain run. We skipped both pain runs for this participant PCVCPV
delete	No behavioral data	delete	sub-0068_ses-01_task-alignvideo_acq-mb8_run-04	"-AlignVid-06: P had to use the washroom right before run 6 and had had also felt distressed since he had been trying to locate the squeeze ball for a while and was not able to. Since we were running late due to the P asking for glasses after he was put in, we skipped the last align vid run 6 to add to the next session. "
delete	Failed pain run. No behavioral data	delete	sub-0071_ses-01_task-social_acq-mb8_run-02	PVC: thermode worked fine for a few trials in run 2 but then stopped reaching the correct temperature and ultimately failed a pre-test. We had to stop that run. The thermode then threw an 8007 error during pretest before the next pain run so it wasn't usable
delete	Failed pain run. No behavioral data	delete	sub-0084_ses-03_task-social_acq-mb8_run-03	"PVC: skipped pain runs (03+06) due to 8007 error. Details: the TSA had passed the safety test and successfully ran with matlab pretest before setting up the participant. When starting the first pain run, I noticed medoc wasn't making the usual trigger sound but the participant was still making ratings (she later confirmed verbally she did not feel pain stimulus). I pulled up medoc and saw that everything was greyed out and there was an error message about failing the pre-test even though the TSA unit itself was still green. I restarted matlab, stopped the run, and detached the thermode from the participant before redoing the safety test, which is when 8007 error first appeared. 
Align videos: participant hit the emergency ball to report that the trackball stopped working properly. She verified that it had been working up until that point. We re-calibrated and went ahead to the next run. Issue was reported a little less than halfway through (circa the car flood video)."
keep	"Full run is collected. While behavioral data is missing, for hyperalignment, not a problem. "	delete	sub-0094_ses-04_task-alignvideo_acq-mb8_run-01	Alignvideo 01: Participant could not lock in responses towards the end of the run. Aborted. Run02 was fine
delete	Partial data. Only 172 images instead of 872	delete	sub-0111_ses-04_task-social_acq-mb8_run-05	PVC 05: vicarious participant couldn't lock in response. We aborted scan and moved on to run06
delete	No behavioral data	delete	sub-0116_ses-02_task-faces_acq-mb8_run-03	faces 03: did not run at all. Do not use
delete	Partial data. Only 831 images instead of 1158	delete	sub-0118_ses-02_task-alignvideo_acq-mb8_run-03	
