sub,task,fd_mean
1000043,rest,0.312017
1000043,faces,0.44424
1000051,rest,0.131495
1000051,faces,0.161634
1000378,rest,NA
1000378,faces,NA
1000446,rest,NA
1000446,faces,NA
1000500,rest,0.100431
1000500,faces,NA
1000513,rest,0.0819384
1000513,faces,0.116134
1000627,rest,0.145641
1000627,faces,0.165335
1000729,rest,0.137913
1000729,faces,0.366306
1000967,rest,0.167834
1000967,faces,0.152882
1000974,rest,0.19765
1000974,faces,0.220126
1001016,rest,0.0921122
1001016,faces,0.131793
1001193,rest,0.105295
1001193,faces,NA
1001325,rest,0.107391
1001325,faces,0.12068
1001381,rest,NA
1001381,faces,NA
1001445,rest,0.131042
1001445,faces,0.125533
1001524,rest,0.103385
1001524,faces,0.119142
1001612,rest,0.186454
1001612,faces,NA
1001730,rest,0.0660444
1001730,faces,0.074524
1001764,rest,0.12841
1001764,faces,0.171027
1001910,rest,0.124844
1001910,faces,0.147297
1002019,rest,NA
1002019,faces,NA
1002026,rest,0.118393
1002026,faces,0.165479
1002042,rest,0.238793
1002042,faces,0.172697
1002147,rest,0.0779332
1002147,faces,0.105767
1002225,rest,NA
1002225,faces,NA
1002570,rest,0.102236
1002570,faces,0.105266
1002617,rest,0.0591862
1002617,faces,0.0941164
1002624,rest,0.0467821
1002624,faces,0.106723
1002638,rest,NA
1002638,faces,NA
1002691,rest,NA
1002691,faces,NA
1002761,rest,NA
1002761,faces,NA
1002959,rest,0.0614844
1002959,faces,NA
1003040,rest,0.163636
1003040,faces,0.162373
1003202,rest,0.114755
1003202,faces,0.162528
1003303,rest,NA
1003303,faces,NA
1003389,rest,0.109421
1003389,faces,0.13729
1003647,rest,0.0882532
1003647,faces,0.120316
1003733,rest,0.0923057
1003733,faces,0.115578
1003757,rest,NA
1003757,faces,NA
1003820,rest,0.0932354
1003820,faces,0.114478
1003932,rest,0.208243
1003932,faces,NA
1004007,rest,0.101287
1004007,faces,0.093529
1004099,rest,0.0768341
1004099,faces,0.092745
1004143,rest,0.128517
1004143,faces,NA
1004293,rest,0.164167
1004293,faces,0.159621
1004312,rest,0.0921857
1004312,faces,0.135977
1004514,rest,0.062584
1004514,faces,0.092905
1004571,rest,0.0962588
1004571,faces,0.124774
1004625,rest,0.110026
1004625,faces,0.143258
1004676,rest,0.0780973
1004676,faces,0.108531
1004982,rest,0.086495
1004982,faces,NA
1005003,rest,0.170573
1005003,faces,0.314933
1005112,rest,0.128057
1005112,faces,0.126575
1005185,rest,0.0849194
1005185,faces,0.128361
1005194,rest,0.140723
1005194,faces,0.179145
1005235,rest,0.0917556
1005235,faces,0.0963757
1005339,rest,0.130092
1005339,faces,NA
1005386,rest,0.123768
1005386,faces,0.157199
1005404,rest,0.109485
1005404,faces,0.130171
1005447,rest,0.108328
1005447,faces,0.184165
1005498,rest,0.165145
1005498,faces,0.26193
1005588,rest,0.0949095
1005588,faces,NA
1005775,rest,0.0793895
1005775,faces,0.112707
1005881,rest,0.112884
1005881,faces,0.090859
1005984,rest,0.0742212
1005984,faces,0.085386600000000007
1006323,rest,0.108963
1006323,faces,0.117762
1006598,rest,0.27148
1006598,faces,0.289239
1006699,rest,0.0897296
1006699,faces,0.100531
1006819,rest,0.189804
1006819,faces,NA
1006842,rest,0.110395
1006842,faces,0.104956
1007197,rest,0.0924945
1007197,faces,0.0801425
1007204,rest,0.185615
1007204,faces,0.2378
1007338,rest,0.0589435
1007338,faces,0.0995359
1007456,rest,0.0775147
1007456,faces,0.104352
1007472,rest,0.0943143
1007472,faces,0.117553
1007483,rest,0.201416
1007483,faces,0.189511
1007637,rest,0.0701381
1007637,faces,0.0928581
1007679,rest,0.10984
1007679,faces,NA
1008115,rest,NA
1008115,faces,NA
1008164,rest,0.242247
1008164,faces,0.421776
1008224,rest,0.139656
1008224,faces,0.178008
1008252,rest,0.139722
1008252,faces,0.173435
1008280,rest,0.0679521
1008280,faces,NA
1008316,rest,0.121347
1008316,faces,0.0859393
1008468,rest,0.109433
1008468,faces,0.163587
1008518,rest,0.0790905
1008518,faces,0.116494
1008520,rest,0.221271
1008520,faces,0.212133
1008566,rest,0.283573
1008566,faces,0.270287
1008611,rest,0.192314
1008611,faces,0.220068
1008726,rest,0.145829
1008726,faces,NA
1008939,rest,0.0672249
1008939,faces,0.0956604
1008940,rest,NA
1008940,faces,NA
1009158,rest,0.120141
1009158,faces,0.13488
1009534,rest,0.0887799
1009534,faces,NA
1009587,rest,0.0780037
1009587,faces,0.0976644
1010088,rest,0.211588
1010088,faces,NA
1010435,rest,0.0947472
1010435,faces,0.0942258
1010620,rest,0.10071
1010620,faces,0.128631
1010643,rest,0.0880601
1010643,faces,NA
1010651,rest,NA
1010651,faces,NA
1010684,rest,0.104341
1010684,faces,0.106058
1010753,rest,0.156891
1010753,faces,0.205192
