sub,ses,task,run,median_value,filename
0117,01,alignvideo,1,48.41851043701172,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0117/sub-0117_ses-01_task-alignvideo_acq-mb8_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0117,01,alignvideo,3,47.851661682128906,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0117/sub-0117_ses-01_task-alignvideo_acq-mb8_run-3_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0117,01,alignvideo,4,45.75813674926758,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0117/sub-0117_ses-01_task-alignvideo_acq-mb8_run-4_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0117,01,social,1,52.57194900512695,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0117/sub-0117_ses-01_task-social_acq-mb8_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0117,01,social,2,59.301025390625,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0117/sub-0117_ses-01_task-social_acq-mb8_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0117,01,social,3,39.71799087524414,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0117/sub-0117_ses-01_task-social_acq-mb8_run-3_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0117,01,alignvideo,2,111.05375671386719,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0117/sub-0117_ses-01_task-alignvideo_acq-mb8_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0117,01,social,4,48.81401062011719,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0117/sub-0117_ses-01_task-social_acq-mb8_run-4_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0117,01,social,5,48.555606842041016,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0117/sub-0117_ses-01_task-social_acq-mb8_run-5_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0117,01,social,6,40.32796096801758,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0117/sub-0117_ses-01_task-social_acq-mb8_run-6_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0050,03,social,2,52.50774383544922,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0050/sub-0050_ses-03_task-social_acq-mb8_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
